"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"uk.proc.d.1931-01-21.3.5.7","uk.proc","speech",1.1693658,"1931-01-21","Mr. SPEAKER","unknown","","mp",4,"commons","Mr. SPEAKER: The hon. Member had better put a question on the Paper. Following are the titles and particulars: List of authorities on the <em>Soviet</em> Union, with special reference to the position of Trade Unions and Political Trading Organisations under the <em>Soviet</em> Government . | (1) Harper, S. N.—Civic Training in <em>Soviet</em> Russia (University of Chicago"
"uk.proc.d.1929-07-17.6.1.1","uk.proc","speech",1.1693658,"1929-07-17","Lieut.-Colonel Sir FREDERICK HALL","null","","mp",2,"commons","3. and 5. Lieut.-Colonel Sir FREDERICK HALL asked the Secretary of State for Foreign Affairs (1) whether, in connection with any negotiations which may take place with the <em>Soviet</em> Government for the renewal of diplomatic relations with Russia, undertakings will be sought to ensure the cessation of Communist propaganda in Great Britain and in"
"uk.proc.d.1929-12-16.6.2.3","uk.proc","speech",1.1576129,"1929-12-16","Sir N. GRATTAN-DOYLE","Con","","mp",2,"commons","19 and 20. Sir N. GRATTAN-DOYLE asked the Secretary of State for Foreign Affairs (1) whether he has received any request from the <em>Soviet</em> Government for permission to establish branches of Arcos and other <em>Soviet</em> trading organisations in British Colonies; (2) whether he has received any intimation from the <em>Soviet</em> Government as to its wishes in the way of establishing trading and purchasing organisations in their country; and, if so, can he state their nature?"
"uk.proc.d.1990-06-11.7.1.52","uk.proc","speech",1.1576129,"1990-06-11","Mr. Kaufman","Labour","","mp",2,"commons","I shall give way to the hon. Gentleman when I have finished my sentence. Although Opposition Members—like, I am sure, the whole House—strongly welcome the decision of the <em>Soviet</em> Government to allow Jews from the <em>Soviet</em> Union to leave to settle in Israel, where they are already receiving a great welcome, the Community would not find satisfaction in any deliberate policy of a new Israel Government to settle <em>Soviet</em> Jews in the occupied territories."
"uk.proc.d.1956-07-05.6.6.1","uk.proc","speech",1.1576129,"1956-07-05","Mr. Swingler","Labour","","mp",2,"commons","asked the President of the Board of Trade (1) what steps he has taken since the visit to this country of Marshal Bulganin and Mr. Khrushchev to increase the volume of Anglo-<em>Soviet</em> trade; (2) if he will make a statement on his discussions with representatives of the <em>Soviet</em> trade delegation about the prospects of improving trade between the United Kiugdom and the Union of <em>Soviet</em> Socialist Republics."
"uk.proc.d.1958-04-16.6.1.2","uk.proc","speech",1.1576129,"1958-04-16","Mr. Selwyn Lloyd","Conservative","The Secretary of State for Foreign Affairs","government",2,"commons","The answer to the first part of the Question is \"Yes, Sir.\" So far as the second part is concerned, United States and <em>Soviet</em> newspapers are available in the Library of the House. I have every reason to believe that the principal British and <em>Soviet</em> newspapers are also available in the Library of Congress. I have no information about the newspapers available to the <em>Soviet</em> Parliament, but I will inquire."
"uk.proc.d.1987-12-16.3.1.4","uk.proc","speech",1.1576129,"1987-12-16","Sir Geoffrey Howe","Conservative","The Secretary of State for Foreign and Commonwealth Affairs","government",2,"commons","The case that I was making to Mr. Shevardnadze, which we have continued to make to <em>Soviet</em> leaders on many occasions, is precisely that put by my hon. Friend. Although the figures for <em>Soviet</em> Jewish emigration this year — 7,000 — are encouraging, they are very low compared with those achieved in the 1970s, with a peak of 51,000 in 1979. We shall continue to press the <em>Soviet</em> Union for more progress in that and every other aspect of human rights."
"uk.proc.d.1982-11-03.9.1.49","uk.proc","speech",1.1576129,"1982-11-03","The Prime Minister","Conservative","The Prime Minister","government",2,"commons","The behaviour of the <em>Soviet</em> Union continues to cloud East-West relations. The <em>Soviet</em> arms build-up has not stopped, or even slowed down. This year alone, 132 SS20 warheads have been installed. <em>Soviet</em> forces in Afghanistan have not been withdrawn but have been strengthened. Martial law in Poland, far from being lifted as the regime in Warsaw has repeatedly promised, has been used to declare illegal a trade union organisation which a year ago numbered 10 million members."
"uk.proc.d.1986-05-13.3.5.2","uk.proc","speech",1.1576129,"1986-05-13","The Minister of State for the Armed Forces (Mr. John Stanley)","Conservative","The Minister of State for the Armed Forces","government",2,"commons","I refer my hon. Friend to the paper that I have placed in the Library entitled \"The <em>Soviet</em> Ballistic Missile Defence Programme\". I refer my hon. Friend also to the United States Government's assessment in \"<em>Soviet</em> Military Power 1986,\" a copy of which is also in the Library. The <em>Soviet</em> Union has a long-standing and broadly based research and development programme relevant to space-based weapons systems and is the only country to have already deployed an anti-satellite weapons system."
"uk.proc.d.1956-12-05.11.1.34","uk.proc","speech",1.1576129,"1956-12-05","Mr. Lloyd","Conservative","The Secretary of State for Foreign Affairs","government",2,"commons","I have not yet finished. In our own restricted operations in Port Said, about 30 self-propelled <em>Soviet</em> guns were found, together with a considerable variety of other <em>Soviet</em> equipment. Large numbers of expert technicians had been sent from behind the Iron Curtain to Egypt. We believe that at least 1,000 technicians and instructors had come to Egypt for essential servicing and training. In addition, Egyptians had been sent to Czechoslovakia, Poland and the <em>Soviet</em> Union for technical training."
"uk.proc.d.1989-07-11.4.7.9","uk.proc","speech",1.1457398,"1989-07-11","Mr. Brazier","Conservative","","mp",2,"commons","Will my hon. Friend confirm that the <em>Soviet</em> Union's stocks of chemical weapons are much larger than those of the West? The <em>Soviet</em> Union has 14 factories, compared with just one in America. Will he also confirm that the <em>Soviet</em> Union continues to refuse to allow an inspection by the West of its facility at Shikhany, notwithstanding the agreement"
"uk.proc.d.1958-01-28.9.1.6","uk.proc","speech",1.1457398,"1958-01-28","Mr. R. A. Butler","Conservative","The Secretary of State for the Home Department and Lord Privy Seal","government",2,"commons","I have been asked to reply. There is wide scope for such action on the part of the <em>Soviet</em> Government on many outstanding questions."
"uk.proc.d.1958-02-19.28.1.72","uk.proc","speech",1.1457398,"1958-02-19","Mr. Ormsby-Core","null","","mp",4,"commons","And a good lot they were. We all hope that this sort of exchange can be expanded. This, I believe, is work of considerable importance, but, unfortunately, the <em>Soviet</em> Government still place obstacles in the way of progress along these lines. Very few <em>Soviet</em> tourists are granted exit visas to the West, and although the <em>Soviet</em> authorities have"
"uk.proc.d.1956-12-19.5.9.1","uk.proc","speech",1.1457398,"1956-12-19","Mr. Harold Davies","Labour","","mp",2,"commons","asked the Secretary of State for Foreign Affairs (1) when, in view of the fact that the disarmament proposals made by the <em>Soviet</em> Government on 17th November are nearer to those of the Western Powers, he intends to discuss the proposals with the Union of <em>Soviet</em> Socialist Republics; (2) whether, in view of the proposals of the <em>Soviet</em> Government on"
"uk.proc.d.1983-11-23.5.1.66","uk.proc","speech",1.1457398,"1983-11-23","Mr. Ashdown","Liberal Democrats","","mp",2,"commons","This is my last point, Mr. Speaker. Since those talks began, the United States has added 900 warheads to its stockpile whereas the <em>Soviet</em> Union has added 600."
"uk.proc.d.1931-03-09.10.1.1","uk.proc","speech",1.1457398,"1931-03-09","Mr. HANNON","unknown","","mp",2,"commons","25. and 26. Mr. HANNON asked the Secretary of State for Foreign Affairs (1) how many meetings have been held by the sub-committee dealing with inter-Governmental debts between Great Britain and the <em>Soviet</em>; whether any report has yet been submitted by it to the main joint Anglo-<em>Soviet</em> Debt Committee; and, if not, whether he can state the reasons"
"uk.proc.d.1927-03-17.13.6.11","uk.proc","speech",1.1457398,"1927-03-17","Sir F. HALL","null","","mp",2,"commons","Sir F. HALL: In the circumstances of the case, should not the <em>Soviet</em> Government be put down as common robbers? [An HON. MEMBER: \"The same as this Government!\"]"
"uk.proc.d.1941-01-28.3.2.2","uk.proc","speech",1.1457398,"1941-01-28","Mr. Dalton","Labour","The Minister of Economic Warfare","government",2,"commons","I have little evidence that United States exports to the <em>Soviet</em> Union reach Germany directly, but ample evidence that the <em>Soviet</em> are exporting Russian goods to Germany and replacing these goods by imports from the U.S.A. United States exports of cotton to the <em>Soviet</em> Union, which are normally negligible, amounted during the last quarter of 1940 to"
"uk.proc.d.1980-03-04.4.16.10","uk.proc","speech",1.1457398,"1980-03-04","The Prime Minister","Conservative","The Prime Minister","government",2,"commons","The Government's policy on exports to the <em>Soviet</em> Union continues, except in two regards. We should not in any way substitute for the wheat which the United States is not providing, and we should attempt to reduce the amount of technology that we export to the <em>Soviet</em> Union, provided that our partners are prepared to do the same. With regard to the"
"uk.proc.d.1984-12-19.4.19.7","uk.proc","speech",1.1457398,"1984-12-19","Mr. Heffer","Labour","","mp",2,"commons","Yes, Mr. Speaker, but it is difficult due to the rabble beside me. Is the Minister aware that, although many of us have severe criticisms of the <em>Soviet</em> internal regime and believe that there must be greater democracy and human rights there, we nevertheless believe that it is vital for the interests of this country that trade with the <em>Soviet</em> Union"
"uk.proc.d.1974-12-16.12.1.32","uk.proc","speech",1.0802138,"1974-12-16","Mr. Walker","Conservative","","mp",3,"commons","Perhaps I would if any of the 450,000 had ever had the right to vote in a democratic election. Let us look at the attitude of the <em>Soviet</em> Government to the problems we are considering. The <em>Soviet</em> Government are not pursuing a course that the hon. Gentleman and his Friends constantly urge upon British Governments. They are not embarking on a course"
"uk.proc.d.1959-02-17.8.11.1","uk.proc","speech",1.0802138,"1959-02-17","Mr. Harold Davies","Labour","","mp",2,"commons","asked the Prime Minister (1) if he now intends to follow up the suggestion that he has made of a non-aggression pact with the Union of <em>Soviet</em> Socialist Republics; (2) if he is now prepared to make an agreement with the Union of <em>Soviet</em> Socialist Republics guaranteeing that neither country would use the hydrogen bomb against the other."
"uk.proc.d.1965-12-13.6.1.3","uk.proc","speech",1.0802138,"1965-12-13","Mr. George Thomson","Labour","The Minister of State for Foreign Affairs","government",2,"commons","I will, with permission, answer this Question and Question No. 11 together. My right hon. Friend has already made a statement about his discussion of Vietnam with the <em>Soviet</em> Government to whom he reiterated his proposal for joint action by the British and <em>Soviet</em> Governments in discharge of their responsibilities as Co-Chairmen of the 1954 Geneva Conference."
"uk.proc.d.1954-12-22.3.1.11","uk.proc","speech",1.0802138,"1954-12-22","Mr. Bing","Labour","","mp",2,"commons","asked the First Lord of the Admiralty (1) why British shipyards are not permitted to accept orders from the Union of <em>Soviet</em> Socialist Republics for merchant ships with a speed of over 12 knots; (2) why British shipyards are not permitted to accept orders from the Union of <em>Soviet</em> Socialist Republics for floating cranes, dredgers, and suction-dredgers."
"uk.proc.d.1988-04-26.12.1.30","uk.proc","speech",1.0802138,"1988-04-26","Sir Peter Blaker","Conservative","","mp",2,"commons","My hon. Friend makes an excellent point that I have frequently made. One has only to ask oneself whether the <em>Soviet</em> Union would have followed our example to know the answer. Indeed, Mr. Andropov, when he was General Secretary in the <em>Soviet</em> Union, said that the Soviets did not believe in one-sided disarmament."
"uk.proc.d.1966-05-10.5.11.1","uk.proc","speech",1.0802138,"1966-05-10","Mr. Charles Morrison","Conservative","","mp",2,"commons","asked the Minister of Technology (1) if he will give an estimate of the total cost of his forthcoming visit and that of his team of advisers to the Union of <em>Soviet</em> Socialist Republics; (2) what objectives he will seek to achieve during his visit to the Union of <em>Soviet</em> Socialist Republics."
"uk.proc.d.1984-02-22.4.3.2","uk.proc","speech",1.0802138,"1984-02-22","Mr. Rifkind","Conservative","The Minister of State, Foreign and Commonwealth Office","government",2,"commons","My right hon. and learned Friend raised the question of <em>Soviet</em> commitments in the field of human rights with Mr. Gromyko at their meeting in Stockholm on 19 January. We shall continue to take suitable opportunities to raise this question with the <em>Soviet</em> authorities."
"uk.proc.d.1930-07-21.9.1.1","uk.proc","speech",1.0802138,"1930-07-21","Major-General Sir ALFRED KNOX","Con","","mp",2,"commons","30 and 31. Major-General Sir ALFRED KNOX asked the Secretary to the Overseas Trade Department (1) the proportion of the total face value of credit guaranteed to <em>Soviet</em> Russia for which the Government is responsible; (2) the total face value of contracts entered into by the Export Credits Department with <em>Soviet</em> Russia?"
"uk.proc.d.1937-11-01.17.1.2","uk.proc","speech",1.06748,"1937-11-01","Mr. R. S. Hudson (Secretary, Overseas Trade Department)","Conservative","","mp",4,"commons"," course, duties in addition to those relating to trade and commerce. As regards the personnel and employes engaged in <em>Soviet</em> trading organisations in the United Kingdom, the approximate numbers of these, according to the latest information available, is as follows:— The <em>Soviet</em> Trade Delegation—80. Other <em>Soviet</em> Trade organisations in the United Kingdom"
"uk.proc.d.1985-06-12.4.1.15","uk.proc","speech",1.06748,"1985-06-12","Mr. Eric S. Heffer","Labour","","mp",2,"commons","I am sure that the right hon. Gentleman knows full well that paragraph 105 of the Defence Estimates says of the <em>Soviet</em> Union: The roots of <em>Soviet</em> policy are complex. The <em>Soviet</em> Union … is a country obsessed with its own security\". If the Government accept that the <em>Soviet</em> Union is obsessed, as I believe it is, with its own security, is it not clear"
"uk.proc.d.1985-04-23.5.1.2","uk.proc","speech",1.06748,"1985-04-23","The Secretary of State for Foreign and Commonwealth Affairs (Sir Geoffrey Howe)","Conservative","The Secretary of State for Foreign and Commonwealth Affairs","government",3,"commons","Our policy towards the <em>Soviet</em> Union is consistent and clear, and has been made clear to the Russians on numerous occasions including most recently when informing them of the expulsions. We wish to improve relations with the <em>Soviet</em> Union. We have made considerable efforts in that direction which will be maintained, but they have been hampered by"
"uk.proc.d.1962-03-12.6.1.2","uk.proc","speech",1.06748,"1962-03-12","The Minister of Defence (Mr. Harold Watkinson)","Conservative","The Minister of Defence","government",3,"commons","While returning by car to Potsdam from a routine tour about midnight 10th–11th March, Lieut.-Colonal Brown and Corporal Day, of the British Military Mission to <em>Soviet</em> Headquarters in East Germany, were fired upon by East German frontier police at Stahnsdorf. They were in an unrestricted area and the East German frontier police opened fire for no"
"uk.proc.d.1978-05-24.3.8.5","uk.proc","speech",1.06748,"1978-05-24","Mr. Heffer","Labour","","mp",2,"commons",", including the <em>Soviet</em> Union. Is my hon. Friend aware that we feel that the Government could be a little more forthright on the question of those who are monitoring the Helsinki agreement in the <em>Soviet</em> Union? We understand that the British Government do not want to endanger our relationships with the <em>Soviet</em> Union. [HON. MEMBERS: \"Why not?\"] Because we have"
"uk.proc.d.1956-07-10.21.1.1","uk.proc","speech",1.06748,"1956-07-10","The Prime Minister","Conservative","The Prime Minister","government",3,"commons","With your permission, Mr. Speaker, and that of the House I wish to make a short statement. During the recent visit of the <em>Soviet</em> leaders to this country, my right hon. and learned Friend the Foreign Secretary and I accepted an invitation to pay a return visit to the <em>Soviet</em> Union in due course. It has now been agreed that this should take place in"
"uk.proc.d.1957-03-28.10.1.1","uk.proc","speech",1.0104474,"1957-03-28","Mr. Zilliacus","Labour","","mp",3,"commons"," producing hydrogen bombs to stop testing them forthwith; (2) whether he and President Eisenhower considered the <em>Soviet</em> offer to end hydrogen bomb tests, by either a gentleman's agreement or a treaty between the United Kingdom, the United States of America, and the Union of <em>Soviet</em> Socialist Republics, or through the Disarmament Commission of the"
"uk.proc.d.1985-04-23.5.1.6","uk.proc","speech",1.0104474,"1985-04-23","Sir Geoffrey Howe","Conservative","The Secretary of State for Foreign and Commonwealth Affairs","government",2,"commons","The right hon. Gentleman has failed to understand the position. We made it plain to the <em>Soviet</em> ambassador that we were requiring the withdrawal of five <em>Soviet</em> officials from this country. We intended to publicise the fact that two of them were required to withdraw within seven days, and we said that if the <em>Soviet</em> Union expelled any member of the"
"uk.proc.d.1980-01-28.11.1.20","uk.proc","speech",1.0104474,"1980-01-28","The Prime Minister","Conservative","The Prime Minister","government",4,"commons","I have said that we shall be reviewing aid to Pakistan. I have pointed out that <em>Soviet</em> aid is in terms of military advisers and dogma only and not in terms of genuine economic aid. As the hon. Member for Dunfermline (Mr. Douglas) knows, our record in aid still compares favourably with most countries in the world. I had reached the point of saying"
"uk.proc.d.1990-06-12.5.1.29","uk.proc","speech",1.0104474,"1990-06-12","The Prime Minister","Conservative","The Prime Minister","government",2,"commons","Perhaps the hon. Gentleman would stop interjecting—[AN HON. MEMBER: \"He has a peanut brain.\"] That may be right. The <em>Soviet</em> Union can have any advice that it wishes to have in how to construct company law and in how to set up banks. Such advice will also be given by Germany, by France and by the United States. The <em>Soviet</em> Union can also have any"
"uk.proc.d.1986-02-19.10.2.22","uk.proc","speech",1.0104474,"1986-02-19","Mr. Younger","Conservative","The Secretary of State for Defence","government",3,"commons","My hon. Friend is right. We have made that point clear. It is now agreed between both sides—which is important to my argument — that both the <em>Soviet</em> Union and the United States of America have been indulging in that form of research. They have not even contended that they are not doing so. It is not a peripheral matter—it is a key component of"
"uk.proc.d.1955-01-31.5.3.5","uk.proc","speech",1.0025223,"1955-01-31","The Secretary of State for Foreign Affairs (Sir Anthony Eden)","Conservative","The Secretary of State for Foreign Affairs","government",4,"commons"," throughout the whole of Germany, should be genuinely free. Only thus could a representative all-German Government be established with which we could negotiate a peace treaty. These proposals were rejected by the <em>Soviet</em> Government. In their Note of 29th November to the <em>Soviet</em> Government, the Governments of the United Kingdom, the United States and France"
"uk.proc.d.1954-07-26.15.8.2","uk.proc","speech",0.9922397,"1954-07-26","Mr. Eden","null","","mp",2,"commons","As the House will be aware, on 24th July the <em>Soviet</em> Government addressed Notes to Her Majesty's Government and to the United States and French Governments, proposing a conference of all European States and the United States of America to consider the <em>Soviet</em> proposals put forward some months ago for collective security in Europe. It is also"
"uk.proc.d.1931-03-09.10.1.2","uk.proc","speech",0.9922397,"1931-03-09","Mr. SMITHERS","Con","","mp",2,"commons","27 and 28. Mr. SMITHERS asked the Secretary of State for Foreign Affairs (1) how many meetings have been held of the sub-committee dealing with the claims of British holders of Russian bonds; whether this sub-committee has yet submitted any report to the main joint committee on <em>Soviet</em> debts; and whether the <em>Soviet</em> representatives have recognised"
"uk.proc.d.1976-05-12.7.1.55","uk.proc","speech",0.9922397,"1976-05-12","Mr. Cronin","Labour","","mp",4,"commons","My hon. Friend, with a certain Scottish clairvoyance, has antici- pated something I was about to say. I suggest that we should analyse the nature of the <em>Soviet</em> naval threat and its history to get a more balanced picture of that threat. Obviously, the <em>Soviet</em> Union intends its Navy to deter any attacks on its allies and client States. In other words"
"uk.proc.d.1966-07-07.14.1.38","uk.proc","speech",0.9922397,"1966-07-07","Sir C. Orr-Ewing","Conservative","","mp",3,"commons","Has the right hon. Gentleman's attention been called to Motion No. 99, concerning the treatment of Jewish people in the <em>Soviet</em> Union, which has now been signed by no fewer than 164 hon. Members on both sides of the House? [ That this House notes with concern the continuing difficulties confronting Jews in the Union of <em>Soviet</em> Socialist Republics"
"uk.proc.d.1952-07-14.6.8.2","uk.proc","speech",0.9922397,"1952-07-14","Mr. Nutting","Conservative","The Joint Under-Secretary of State for Foreign Affairs","government",2,"commons","Dr. Linse, a German who is a leading member of the anti-Communist Association of Free Lawyers of the <em>Soviet</em> Zone, was kidnapped early on 8th June. According to Press reports, he was seized as he left his house in the American sector, dragged into a car and driven away towards the <em>Soviet</em> zonal boundary where East German policemen at once raised the"
"uk.proc.d.1962-11-19.5.1.4","uk.proc","speech",0.9922397,"1962-11-19","Mr. Henderson","Labour","","mp",2,"commons","In view of the fact that Mr. Wynne was arrested by the Hungarian Government, will Her Majesty's Government press them to state in which country, whether Russia or Hungary, this alleged espionage took place, and also why the Hungarians handed Mr. Wynne over to the <em>Soviet</em> authorities? Secondly, will the Government continue to render every possible assistance to Mr. Wynne and press again the <em>Soviet</em> Government, if it is a fact that he is in the <em>Soviet</em> Union, to allow a representative of Her Majesty's Government to see Mr. Wynne?"
"uk.proc.d.1974-05-21.10.1.5","uk.proc","speech",0.9922397,"1974-05-21","The Prime Minister","Labour","The Prime Minister","government",2,"commons","We do not supply arms to the <em>Soviet</em> Union. What I have announced this afternoon is that we are going to stop the policy of the previous Government of supply arms to Chile and to South Africa. So far as the <em>Soviet</em> Union is concerned, I was myself involved with negotiating the Comcon agreements for stopping on a NATO basis the supply of arms to the <em>Soviet</em> Union and to members of the Warsaw Pact. Therefore, my hon. Friend's high-flown oratory is entirely beside the point and so is the cheering of hon. Members opposite."
"uk.proc.d.1962-11-22.15.1.2","uk.proc","speech",0.9922397,"1962-11-22","The Prime Minister","Conservative","The Prime Minister","government",2,"commons","I assume that the hon. Member is referring to the so-called black box proposals put forward by three American and three <em>Soviet</em> scientists who attended the 1962 Pugwash Conference. Although I am advised that these proposals have a number of limitations, any idea that may reduce the gap between the <em>Soviet</em> Union and the West deserves careful"
"uk.proc.d.1990-04-04.3.5.2","uk.proc","speech",0.9922397,"1990-04-04","Mr. Waldegrave","Conservative","The Minister of State, Foreign and Commonwealth Office","government",2,"commons","We support the right of the Baltic peoples to decide their own future, and have welcomed the considerable progress made in the past two years. In view of recent developments in Lithuania, we think it vital that restraint should be shown on all sides and that progress should be made through dialogue between the <em>Soviet</em> authorities and the"
"uk.proc.d.1985-04-23.5.1.4","uk.proc","speech",0.9922397,"1985-04-23","Sir Geoffrey Howe","Conservative","The Secretary of State for Foreign and Commonwealth Affairs","government",4,"commons","I do not believe that the right hon. Gentleman can sustain that charge. When the <em>Soviet</em> ambassador was informed last Thursday, he was told that Captain Los, the assistant naval attache, who had been found to have engaged in activities incompatible with his status, should leave the country within seven days. He was further informed that Mr"
"uk.proc.d.1980-01-28.11.1.96","uk.proc","speech",0.9922397,"1980-01-28","Mr. Biggs-Davison","Conservative","","mp",2,"commons","I have no knowledge of that, but it is true that there was an element that supported the <em>Soviet</em> occupation. I have no knowledge of a direct appeal for <em>Soviet</em> intervention. Are not self-determination and religious liberty—if we believe in them as principles—applicable also to the Central Asian nationalities, and are they not more immediately"
"uk.proc.d.1984-07-04.5.1.13","uk.proc","speech",0.9922397,"1984-07-04","Sir Geoffrey Howe","Conservative","The Secretary of State for Foreign and Commonwealth Affairs","government",2,"commons","Not even the <em>Soviet</em> Foreign Minister raised that last point with me. Regarding arms control, I pointed out to the <em>Soviet</em> leaders that during the past four years the <em>Soviet</em> Union has continued to deploy a growing and massive number of intermediate range missile warheads in the direction of Western Europe. Throughout that period, the West was"
"uk.proc.d.1986-10-23.7.1.27","uk.proc","speech",0.9922397,"1986-10-23","Mr. Stanley","Conservative","The Minister of State for the Armed Forces","government",2,"commons","I can certainly confirm that we would not wish the treaty to be breached. We are very much aware of the concern expressed by the United States about the <em>Soviet</em> violations. On the hon. Gentleman's opening point, I must put it to him that the impetus behind the SDI stemmed not so much from concern about <em>Soviet</em> violations, but very much from an understanding of the scale, length and implications of a very long-standing intense <em>Soviet</em> research programme into trying to create a possible antiballistic missile system breakout."
"uk.proc.d.1948-12-06.4.3.2","uk.proc","speech",0.9922397,"1948-12-06","Mr. Mayhew","Labour","The Under-Secretary of State for Foreign Affairs","government",2,"commons","This self - styled magistrat, which was not elected but nominated, was set up in the <em>Soviet</em> sector of Berlin by members of the Socialist Unity Party and other Communist-controlled organisations at what was miscalled an extraordinary session of the Berlin City Assembly which had been unconstitutionally convened by the Socialist Unity Deputy"
"uk.proc.d.1957-07-10.3.4.2","uk.proc","speech",0.9922397,"1957-07-10","The Joint Under-Secretary of State for Foreign Affairs (Mr. Ian Harvey)","Conservative","The Joint Under-Secretary of State for Foreign Affairs","government",2,"commons","British Broadcasting Corporation broad- casts in the following languages are jammed by the <em>Soviet</em> Union and by all the satellites except Poland: Russian, German, Finnish, Hebrew, Persian, Turkish, all the satellite languages and some in Greek. The latest representations were made by the Prime Minister in his recent letter to Mr. Bulganin, but the"
"uk.proc.d.1984-03-12.11.1.24","uk.proc","speech",0.9922397,"1984-03-12","Mr. Hickmet","Conservative","","mp",2,"commons"," over-emphasised. It has borders with Bulgaria, the <em>Soviet</em> Union, Iran, Iraq, Syria and Greece. The route from the Black sea for <em>Soviet</em> vessels lies through the Bosporus and the Dardanelles. Turkey is the West's south-eastern frontier with the <em>Soviet</em> Union. Without Turkey there is no NATO."
